2026-02-08T18:35:09+00:00	eb9eb75	Add axum http api scaffold
2026-02-08T18:35:35+00:00	b6afc9c	Add extended Marlowe schema and examples
2026-02-08T18:47:42+00:00	39f84b7	Implement extended Marlowe DSL parser and type checker
2026-02-08T18:52:34+00:00	20c04f4	Add property-based tests for parser and type checker
2026-02-08T18:59:10+00:00	efe242f	Add YAML serializer and round-trip tests
2026-02-08T19:03:04+00:00	c947f96	Add differential fixture tests for example contracts
2026-02-08T19:05:00+00:00	0ed5548	Add golden diagnostics regression tests
2026-02-08T19:11:24+00:00	b75bdd3	Add mutation testing harness configuration
2026-02-08T19:14:38+00:00	7025ff4	Add cargo-fuzz harnesses for parser and checker
2026-02-08T19:15:48+00:00	949253f	Add alpha-renaming invariant property tests
2026-02-08T19:18:10+00:00	7654560	Add parse/typecheck performance regression tests
2026-02-08T19:20:07+00:00	30029a9	Add YAML ambiguity and quoting behavior tests
2026-02-08T19:21:42+00:00	7d7183b	Add context matrix tests for definition requirements
2026-02-08T19:23:19+00:00	cc411ca	Add big integer edge case tests
2026-02-08T19:46:47+00:00	72e70c0	Implement strict Marlowe transaction simulator core
2026-02-08T20:15:48+00:00	154ad47	Add /simulate/step API with simulator responses
2026-02-08T20:21:50+00:00	8e0d5b9	Add interval clamp coverage and simulator docs
2026-02-08T20:25:30+00:00	f002ef4	Add fixture-driven simulator expectation tests
2026-02-08T20:33:02+00:00	5554dbf	Add locatable simulator errors and preview endpoint
2026-02-08T20:40:10+00:00	1a677a1	Generate OpenAPI spec from Rust handlers
2026-02-08T20:45:11+00:00	b979366	Serve OpenAPI at /openapi.json
2026-02-08T20:57:17+00:00	80d12f6	Add structured diagnostic subcodes for frontend handling
2026-02-08T21:00:48+00:00	344f95a	Add example loader and UI tooling
2026-02-08T21:04:27+00:00	cacd710	Remove tracked node_modules and add UI gitignore
2026-02-08T21:07:53+00:00	075f2fb	Connect UI button to OpenAPI discovery endpoint
2026-02-08T21:09:01+00:00	e8cccb3	api: add stable error subcodes for simulation responses
2026-02-08T21:09:46+00:00	266bdff	Add API client module and side-panel stub calls
2026-02-08T21:12:55+00:00	9895e99	api: return typed simulation warning payloads
2026-02-08T21:16:55+00:00	4a88d3b	Wire UI client to real simulate preview API
2026-02-08T21:17:01+00:00	1b7d2b0	api: add optional simulation trace mode
2026-02-08T21:20:23+00:00	2ce9043	Add structured validation and simulation panel states
2026-02-08T21:23:02+00:00	3a35c1a	api: include per-trace state deltas for simulation
2026-02-08T21:24:55+00:00	1796210	api: add dev-friendly CORS middleware
2026-02-08T21:30:23+00:00	3ce9c04	Render preview choices and apply simulate step
2026-02-08T21:33:58+00:00	6179fe2	Auto-connect API and simplify connection warnings
2026-02-08T21:35:33+00:00	88868f5	api: add trace event ids and source mapping metadata
2026-02-08T21:39:23+00:00	30cbec3	Support full stateful simulation stepping in UI
2026-02-08T21:39:28+00:00	c090cf5	api: include semantic warnings in preview responses
2026-02-08T21:45:55+00:00	38f2a96	api: add typecheck explain endpoint with remediation hints
2026-02-08T21:52:51+00:00	642cac2	api: support context definitions in typecheck explain
2026-02-08T21:58:48+00:00	7dc87ce	Auto-validate on edit and surface detailed diagnostics
2026-02-08T22:03:44+00:00	250463b	api: normalize json errors and fix nested trace contract paths
2026-02-08T22:08:19+00:00	2f1a369	api: include source spans in preview validation diagnostics
2026-02-08T22:15:52+00:00	b25c963	Improve Monaco error marker placement from diagnostics
2026-02-08T22:33:00+00:00	f25a9d5	Improve hole diagnostics and warning markers in editor
2026-02-08T22:36:30+00:00	0718211	Differentiate unresolved parameters from holes in validation UI
2026-02-08T22:42:02+00:00	11984ca	Run validation on example load and gate simulation on validity
2026-02-08T22:46:32+00:00	5afe839	docs: update README with current API and diagnostics behavior
2026-02-08T22:46:50+00:00	09d4c41	Add project README with setup and usage instructions
2026-02-08T23:02:21+00:00	f1d55c1	Integrate typecheck explain data into validation UI
2026-02-08T23:21:48+00:00	0e9487e	Add simulation trace timeline from step events
2026-02-08T23:24:12+00:00	bb01826	Add simulation state inspector and step diff summary
2026-02-08T23:44:48+00:00	3dddb63	docs: add paper draft and prompt/commit appendix
2026-02-08T23:52:19+00:00	ddd581d	docs: switch paper references to GitHub repo
